comments,date,sentiment
Maybe samsung got jealous when it saw iPhone 11 had 3 cameras,2020-03-23T14:07:39.000Z,-0.4588
What&#39;s the price of this phone???,2020-03-23T11:34:57.000Z,0.0
Monster.,2020-03-23T07:02:37.000Z,0.0
Snapdragon ngon Exynosquá tệ,2020-03-23T05:10:24.000Z,0.0
Apple:- puts a stove in its flagship iPhone<br />Samsung:-hold my beer<br /><br /><br />2020<br />Samsung:-puts a whole kitchen in the s20 ultra back,2020-03-23T02:43:59.000Z,0.1027
WE DON&#39;T WANT SAMSUNG!,2020-03-23T00:44:05.000Z,0.1511
By the way I love this phone 😍😂😍❤️,2020-03-22T23:53:20.000Z,0.6369
Hey I will like to know Wich on is better the A series or S series please answer,2020-03-22T23:53:01.000Z,0.7717
Samsung why are you keep insisting on having Exynos on your phones? I won&#39;t be buying anymore Samsung phone.,2020-03-22T15:14:10.000Z,0.0
I think these people used the s20 ultra to make this Ad,2020-03-22T15:02:36.000Z,0.0
Very bad I like vivo,2020-03-22T14:04:26.000Z,-0.2534
<b>iPhone 11 Pro</b> left chat,2020-03-22T12:12:55.000Z,0.0
Please give me 1 phone for samsung please,2020-03-22T10:27:04.000Z,0.5574
Have we come to the point where phone introductions are camera ads?,2020-03-22T07:08:22.000Z,0.0
Samsung plz gift me a phone i really need one i m frm nepal plz,2020-03-22T05:35:03.000Z,0.5423
"Hi.. I&#39;&#39;ve been a samsung user since Galaxy S4. My last device was a Galaxy Noye 8. I recently bought a Galaxy S20 Ultra as I was amazed by the camera features. I had a very high expectation of the device since I am very satisfied with my Galaxy Note 8. However, after spending some time with my Galaxy S20 Ultra, I felt that the camera did not live up to my expectation. It is great especially outdoors and the sun is shining so bright. The night mode also is very good and can make the photo look great. However, the cameras performance indoors and with people in it, was terrible. My 3 year old note 8 takes better photos of people. I am very disappointed with how the software process peoples skin. And also the autofocus sucks. To tell you honestly, the phone is great overall but its most hyped feature did fail us. If I can only return the phone and exchange it with another one. I would. If you could do something about the camera performance with software updates then it might change my opinion about the device.",2020-03-22T04:39:00.000Z,0.7556
Why don&#39;t you give me one,2020-03-21T23:32:05.000Z,0.0
Bottom is for spanish<br /><br />👇🏼,2020-03-21T23:21:35.000Z,0.0
"<a href=""https://www.youtube.com/watch?v=7G6K99cSRv8"">https://www.youtube.com/watch?v=7G6K99cSRv8</a>   See what happen to my S20 when I drop it 1000 feet. 😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😴😴😴",2020-03-21T23:14:36.000Z,-0.3527
"Dear Samsung , i`ve been buying your smartphones since 2010, all galaxy models and all note models. i`m a bit dissapointed about Galaxy S20 ultra, my last device. the 5000 battery doesn`t last so long, the cameras on the back are a bit ugly and please, in the future stop using Exynos processors on your smartphones. The Snapdragon processor is much better. Why do you complicate things with Exynos when you can use only Snapdragon ? Best regards !",2020-03-21T23:04:06.000Z,0.7777
