comments,date
huawei<br /><br />wiiiiiiii🙌 <br /><br />you&#39;rewinner!!!,2019-12-25T13:04:05.000Z
Lo único malo que tiene el celulares que la cámara sobresale y se raya,2019-12-24T22:25:51.000Z
Ta 😧😝🖓🖓🖓🖓 orrible,2019-12-21T04:31:01.000Z
Apple is a poop of dog compared with this,2019-12-20T03:19:47.000Z
I love you huawei 😍😍😍😍😍😍😍😍😍😍😍,2019-12-19T12:49:43.000Z
love it,2019-12-18T13:34:45.000Z
Cheap I love Samsung,2019-12-17T12:36:29.000Z
Google?,2019-12-16T08:29:39.000Z
没有Google服务，华为在国外咋卖…,2019-12-15T07:08:35.000Z
HUAWEI is upgrading so fast !!!! im a Samsung admin but I love HUAWEI ❤ thats why the unitedstates banned HUAWEI  they are scared 🤷🏻‍♂️😅<br /><br /><br />Iphone is trash your only paying for the apple at the back 🤷🏻‍♂️,2019-12-13T15:23:09.000Z
Omg...,2019-12-11T23:17:05.000Z
And that&#39;s how you make a flagship phone!,2019-12-11T11:05:08.000Z
"Huawei Mate 30Pro vs Samsung Galaxy Note 10Plus Comparison <br /><a href=""https://youtu.be/prB8lZBPBXQ"">https://youtu.be/prB8lZBPBXQ</a>",2019-12-10T17:31:57.000Z
No Google = No Huawei,2019-12-10T16:00:02.000Z
Are you going to launch this phone in India ???<br />Because India dosen&#39;t banned your company.,2019-12-10T12:52:23.000Z
USA doesn&#39;t like this,2019-12-08T00:28:20.000Z
P80: let me shou  you  new telescop with a screen,2019-12-07T22:00:54.000Z
"Наебут и вас, такой болшой компании насрать на желания пользователля",2019-12-07T14:55:51.000Z
Huawei is the best phone company,2019-12-07T14:24:48.000Z
how much they cost?,2019-12-06T23:45:23.000Z
Face ar available?,2019-12-06T17:36:05.000Z
"我也来评测！<br /><a href=""https://www.youtube.com/watch?v=_qTZP167OKo"">https://www.youtube.com/watch?v=_qTZP167OKo</a>",2019-12-06T04:19:07.000Z
India me Kab hoga lonch,2019-12-05T12:25:00.000Z
"- How are 7680fps useful ?<br />- Because but it’s 7680 fps !<br />- It’s too slow for me, I just can’t look at a standstill image for 300 seconds !<br />- Yes but it’s 7680 fps !<br />- This must eat sooo much storage !<br />- Yes but it’s 7680 fps !<br />- Why is it so cool ?<br />- Because it’s 7680 fps !",2019-12-05T07:12:53.000Z
I am going to buy the huawei mate 10 pro,2019-12-05T05:15:50.000Z
And where are the google app ? jajaja,2019-12-04T22:34:30.000Z
"No one:<br />Absolutely no one:<br />This comment section:<br />Samsung: uhh, hi?",2019-12-04T15:08:39.000Z
i Love this in Purple color... ❤️,2019-12-03T19:51:39.000Z
I love huawei ❤️❤️❤️,2019-12-02T17:06:55.000Z
So how will this work with the 2020 smart cars coming out ?,2019-12-02T12:14:06.000Z
Algo bueno seria reconocimiento facial en pantalla,2019-12-02T01:34:45.000Z
"Dear huawei, can you please make orange color on your mate series next year? Orange is my favorite color....🌅❤️💛<br /><br /><br /><br />Note : pixel has it but i dont like the design",2019-12-01T15:01:38.000Z
Huawei the best,2019-12-01T12:10:21.000Z
I think Huawei is better than any phone you can find.<br />Also the iPhone 11 is slower compared to this.,2019-12-01T00:52:35.000Z
😎😍😍😍😍😍,2019-11-29T19:43:12.000Z
تيلفون اعلي نسخه منه 8 جيجا رام مينفعش دا كمان معلهوش خدمات جوجول يعني المفروض يكون 12 جيجا رام,2019-11-29T15:12:49.000Z
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,2019-11-28T11:05:39.000Z
It’s the first phone without google service,2019-11-28T08:14:19.000Z
Night mode for Smart P PPPPPLLLLLLLEEEEEAAASSSSEEEEEEE,2019-11-28T00:27:49.000Z
P30 pro p smart sound 😍🥰,2019-11-25T19:44:07.000Z
Ew,2019-11-25T11:04:00.000Z
Us IPhone users now that android is better in some ways but we  just get Apple cause we don’t want to be made fun,2019-11-24T20:33:08.000Z
"Huawei Mate 30/Mate 30 Pro is good smartphones, but when start of sales in Russia?",2019-11-24T15:18:31.000Z
It’s like my washing machine,2019-11-24T14:10:17.000Z
"Watched tons of reviews from different reviewers all across the globe, and overall this is the most powerful smartphone of 2019! Will definitely buy this!",2019-11-23T09:14:42.000Z
"<a href=""https://youtu.be/zVeVzPizPU8"">https://youtu.be/zVeVzPizPU8</a> 😱😱😱😱😱😱😱😱😱😱😱😱😱",2019-11-22T14:50:19.000Z
Meh they could do better,2019-11-22T14:29:17.000Z
No Google  Means Sry,2019-11-22T10:04:02.000Z
Note 10 plus or huawei mate 30 pro mess konsa lu<br />Indono me she acha konsa hai,2019-11-22T07:59:03.000Z
"QqHuawei Mate 30 pro<br />But Now on Amazon <br /><a href=""https://amzn.to/2OwucCg"">https://amzn.to/2OwucCg</a>",2019-11-20T22:40:37.000Z
Who here has the phone and how do I get it please,2019-11-20T15:34:53.000Z
Innovation at its finest,2019-11-20T15:29:56.000Z
Is it possible for huawei to get back its Google services?,2019-11-20T09:57:28.000Z
Huawei....<br />I love you seriously.. 😍 😍 😘 😘 😘,2019-11-19T18:34:04.000Z
Can any one tell background music 🙏,2019-11-19T05:48:35.000Z
iPhone production crews have left the chat.,2019-11-19T02:06:40.000Z
Google sız android,2019-11-18T15:52:32.000Z
did you have a giveaway with that phone,2019-11-16T13:41:44.000Z
Good bye Apple,2019-11-15T11:43:15.000Z
I like this music,2019-11-14T21:43:08.000Z
Me: NOOO HWAWEI IS BIGGER AND HATER!!<br />Samsung: CURSE YOU HWAWEI!!,2019-11-13T06:07:23.000Z
"🤔When will we see The Harmony OS.  I&#39;m tired of the same as always Android &amp; iOS. 🤤 I Want Something New That Revolutions The Technological World.<br />I Trust In You. <br />They Will Do Well, Don&#39;t Be Discouraged.<br /><a href=""http://www.youtube.com/results?search_query=%23Love"">#Love</a> And Respect Always❤️💪",2019-11-12T03:39:14.000Z
All the dislike came from Apple fans,2019-11-10T23:05:42.000Z
😍😍😍😍,2019-11-10T16:03:23.000Z
well...all apples and androids are made in china anyway so I doubt this is why they banned them. Not like we would lose jobs over this device/.,2019-11-09T22:38:18.000Z
"加油HUAWEI,加油China.",2019-11-08T19:52:33.000Z
لا اله الا الله محمـــد رسول الله ـ استغفر الله لي وللمسلمين ـ اللهم صل وسلم وبارك على محمـــد,2019-11-05T19:40:03.000Z
Camera-phone Mate 30<br />With the classic Mate 20 display XDDD,2019-11-05T16:30:20.000Z
Me quedé fascinada con esos dos nuevos colores del P30 pro!! Tengo el p30 normal y quisiera  ese o el nuevo mate!!!,2019-11-03T23:16:16.000Z
すげえー,2019-11-02T09:22:13.000Z
Wow so preetty,2019-11-02T06:18:24.000Z
جميل جدآ,2019-11-01T14:13:38.000Z
💓 cheers 💓,2019-10-31T05:27:08.000Z
"Yes we can , write history , buying the mate 30 ( pro  for myself ) without Google is the first step to a new order,  a new area . A statement about monopol situation . Thanks Huawei .",2019-10-30T16:16:04.000Z
Mate 30 PRO!!,2019-10-30T12:08:16.000Z
Oh my god,2019-10-30T07:19:40.000Z
I have one and this phone is just amazing..Just like how they describe it,2019-10-30T05:41:38.000Z
Mate 10 lite 9.0?????,2019-10-29T13:43:41.000Z
Sar pilish honar 7a update dtau,2019-10-29T11:52:34.000Z
Llegará a América latina?,2019-10-29T02:58:39.000Z
"I&#39;m currently using a huawei phone and I&#39;m loving it, thank you huawei",2019-10-28T21:07:10.000Z
جهاز فاشل,2019-10-28T15:09:59.000Z
"Dude, this is the right way to introduce a product",2019-10-28T03:04:54.000Z
Even i got goosebumps just to watch the vid :&#39;(( this is too beautiful,2019-10-28T03:01:04.000Z
Cuando sale a la venta,2019-10-27T22:24:45.000Z
Stunning design and professional cine camera...and many techy features awesome giveaway to me...😊,2019-10-25T17:48:15.000Z
Rethink. Your future expenses  😂,2019-10-25T17:30:03.000Z
اين لفلاش,2019-10-22T17:00:22.000Z
Apple is pls after watch this vidéos,2019-10-21T17:09:20.000Z
"If I own a Huawei phone with Google services, can I use Huawei Phone Clone to transfer Google services to this phone?",2019-10-20T07:12:54.000Z
"The most thing I hate..<br />The iPhone X,V Display looking screen",2019-10-18T17:29:30.000Z
it would take apple another 5 years to achieve this combination of design and technology,2019-10-18T17:12:59.000Z
it would take apple another 5 years to achieve this combination of design and technology,2019-10-18T17:12:54.000Z
"Me encanta el nuevo Huawei mate 30 pro, esa pantalla de cascada, esas 4 cámaras traseras me enamoran, y ese sistema de volumen en tactos, y me encanta todo lo del nuevo Huawei Mate 30 Pro, y ojalá lo pueda tener ❤️🥰",2019-10-18T14:29:17.000Z
Waw,2019-10-18T07:26:18.000Z
Everyone in the comments are talking about Huawei and Apple but what about Samsung?,2019-10-17T12:05:34.000Z
"comments:<br />&gt; 2009 apple good, huawei bad<br />&gt; 2019 apple bad, huawei good<br />me, a man of culture:<br />&gt; 2009 apple bad, huawei good<br />&gt; 2019 apple bad, huawei good",2019-10-17T10:42:37.000Z
Ok,2019-10-17T09:50:38.000Z
"If I buy mate30, can I watch this video again on YouTube? HAHAHAHAHAHA<br /><br />Answer is clearly NO<br /><br />NO Google No Google Apps Store NO YouTube <br /><br />What a sad story, amazing phone but no spirit",2019-10-16T16:48:20.000Z
Normal Camera left the Chat,2019-10-16T06:24:54.000Z
Google yoksa bende yokum,2019-10-15T19:32:31.000Z
Only apple or Nothing,2019-10-15T16:18:40.000Z
Simply Wowwww..💕💕🔥💟😍💓😘,2019-10-15T04:58:09.000Z
Beast,2019-10-14T15:28:59.000Z
Chinese are so lucky can buy it in such a low price.,2019-10-14T12:26:12.000Z
Bed phone in world 😡😡😡😡😡😡😡👊👊👊👊👊👊👊👊🤣🤣😂😂🤣😂😂🤣🤣,2019-10-14T06:07:43.000Z
Keep fighting and succes,2019-10-13T15:27:19.000Z
Rethink Price!,2019-10-13T14:19:25.000Z
Sony technology copy from all mobiles<br />SONY The Father of All Mobile&#39;s ♥ ♥<br />Quality Brand only one company that&#39;s SONY ♥ ♥ 👍 👍 👌 ♥ ♥,2019-10-13T13:33:42.000Z
"What program I could use?<br />Simular to Google, Android? My photo, edits, viber, messenger, translation, drawings, communications....",2019-10-13T11:37:41.000Z
Wow amazing,2019-10-13T04:36:22.000Z
Liked background music,2019-10-13T02:49:35.000Z
Front is just a copy of Samsung,2019-10-13T02:17:57.000Z
the camera is like washing machine🤣🤣,2019-10-12T22:04:19.000Z
No update existing honors,2019-10-12T15:33:34.000Z
I am rethinking for by this phone 🤔,2019-10-12T14:53:31.000Z
Will buy this next year hahahahaha,2019-10-12T02:25:59.000Z
Hi huawei one big big big big big request please please please settings from 6 finger Lock system please please how many from this comments please like 👇,2019-10-11T17:13:33.000Z
Hi huawei one big big big big big request please please please settings from 6 finger Lock system please please how many from this comments please like 👇,2019-10-11T17:13:17.000Z
Hi huawei one big big big big big request please please please settings from 6 finger Lock system please please,2019-10-11T17:10:38.000Z
Huawei: Ready to change the digital face you see!,2019-10-11T13:46:31.000Z
Love You Huawei❤❤❤,2019-10-11T05:59:30.000Z
No doubt. Best phone of 2019 ♥️♥️♥️,2019-10-10T18:15:16.000Z
Almost like a movie trailer,2019-10-10T17:59:56.000Z
Apple: the new iPhone 11 pro max is out and it has 3 CAMERAS! <br />You can’t get any more than that!<br /><br />Huawei: hold my wireless charger,2019-10-10T17:46:41.000Z
Absolutely beautiful after mate 20 Porsche design I m fan of mate 30<br />Hopefully I Will get this beauty. 💞,2019-10-10T16:55:47.000Z
"Haters gonna hate...<br /><a href=""http://www.youtube.com/results?search_query=%23rethinkpossibilities"">#rethinkpossibilities</a><br /><a href=""http://www.youtube.com/results?search_query=%23Huawei"">#Huawei</a>#1",2019-10-10T15:47:14.000Z
wth man i was aiming to buy Huawei p30 pro now im so freaking confused what to buy,2019-10-10T14:50:51.000Z
tmko ka lagta hain u tube mein video dal dega to ka kharid lenge bhag sala,2019-10-10T13:55:22.000Z
RETHINK PRICE,2019-10-10T09:35:35.000Z
Alam nyo wala kayong originality . Palagi kayong nang gagaya ng features ng other brand thats why hindi kayo masyado tinatangkilik ng customers,2019-10-10T06:39:51.000Z
Hit like huawei Lovers❤️I have huawei nova 3i..put the comments ur mobile model.,2019-10-10T06:32:37.000Z
"If no Google  services, Sorry for Mate 30 pro,<br />Rethink  2019 now still have a Notch. SORRY for mate 30 Pro!<br />I want always updated all my aps,No Google No excuses, <br />Just Like no ID,No entry!,...",2019-10-10T06:27:23.000Z
Lol. Iphone is still the best phone in the world.,2019-10-10T05:57:44.000Z
Who need 5G,2019-10-10T05:13:46.000Z
Putting the stolen edge screen on the thumb is tough,2019-10-10T05:08:40.000Z
Google?,2019-10-10T04:41:53.000Z
<b><i>Chỉ Tiếc Là Không Có  Các Phần Mềm Của Google</i></b>,2019-10-10T03:19:19.000Z
Espetacular!,2019-10-10T01:18:35.000Z
Please rethink price,2019-10-10T00:48:37.000Z
Sorry apples better!<br />: (,2019-10-10T00:36:12.000Z
Do you have GMS？Hahaha,2019-10-10T00:01:10.000Z
سامسونج أحسن 😍,2019-10-09T23:58:47.000Z
WOW ！now thats creative！compare to Samsung and Apple AD they simply tells you“we got nothing new”,2019-10-09T23:38:58.000Z
Me-price?<br />Huawei-around usd3-5k<br />Me-RETHINK to buy it,2019-10-09T21:58:54.000Z
💪💪💪💪💪I suppose Huawei from Japan,2019-10-09T21:36:13.000Z
Watching from my huawei p30 lite. If I love this phone I can&#39;t imagine the new one.,2019-10-09T21:22:45.000Z
Monster is coming !,2019-10-09T20:12:02.000Z
🍎 😆😆😆😆.,2019-10-09T19:58:56.000Z
Huawei made competition product s,2019-10-09T19:57:20.000Z
Can&#39;t beat them? <br />Ban them 😂<br />I prefer huawei over apple,2019-10-09T18:28:43.000Z
Not at all impressed than mi mix alpha,2019-10-09T18:17:42.000Z
Wow exciting,2019-10-09T17:52:27.000Z
rethink price .ummm right na?🤔,2019-10-09T17:43:43.000Z
Plz remove knoch displays things..,2019-10-09T16:40:57.000Z
Rethink Google services support,2019-10-09T16:40:05.000Z
Aaa pooratt 5G vanneeey 5G vanneey,2019-10-09T15:37:30.000Z
Cant afford that 😭,2019-10-09T14:41:27.000Z
Samsung left the chet,2019-10-09T14:40:40.000Z
وفرها في جيبك <br /><br /><br />جوال بدون خدمات قوقل زي سيارة بدون بنزين,2019-10-09T14:38:35.000Z
Indonesia please 🙏,2019-10-09T13:51:44.000Z
7680fps What????? :O,2019-10-09T13:48:46.000Z
Mind : Come On Buddy Lets Buy This Super Phone<br /><br />My wallet : Think Again <br /><br />😂😂🤣😂,2019-10-09T13:37:31.000Z
"Jelek banget penempatan kamera, ngelinkar kaya gitu,,<br />Gak bagus, mending vertikal atau horizontal",2019-10-09T13:30:47.000Z
Rethink the price,2019-10-09T13:00:46.000Z
Wow amazing,2019-10-09T12:39:22.000Z
Just wait <b>Huawei Mate 80 Pro</b> 😂,2019-10-09T12:31:13.000Z
playsto,2019-10-09T11:24:31.000Z
I want this phone when is it coming to the US and can I use it on T-MOBILE and how much is it,2019-10-09T11:21:46.000Z
Atleast the comments aren&#39;t disabled,2019-10-09T11:16:06.000Z
Rethink Stealing trade secrets should also be there in ad.,2019-10-09T10:50:11.000Z
Operating system?,2019-10-09T10:34:58.000Z
Aren&#39;t ALL Huawei cell phones banned in the U.S.?,2019-10-09T10:07:56.000Z
Huawei P30: zoom to the moon<br />Huawei Mate 30: 4 camera<br />Huawei P40 (not release): Big screen and can zoom to the mars,2019-10-09T09:44:21.000Z
All that hardware but no software. Hah,2019-10-09T09:34:23.000Z
Huawei mate 30 pro with Android???,2019-10-09T09:08:35.000Z
They should probably give pop up,2019-10-09T09:07:01.000Z
Price?,2019-10-09T07:52:49.000Z
Can I have 1???,2019-10-09T06:50:04.000Z
Betrayer,2019-10-09T06:34:45.000Z
camera too big,2019-10-09T05:06:32.000Z
Rethink No Google play store,2019-10-09T04:29:31.000Z
can u implement a nochless popup cam  android one phone ?,2019-10-09T03:51:48.000Z
"<a href=""https://www.youtube.com/watch?v=Bj2ffS-H6WY&amp;t=0m47s"">0:47</a> <br />Huawei :innovative side touch interaction<br />Samsung 4 years ago : Am I a joke to you",2019-10-09T03:24:01.000Z
No Google 👎,2019-10-09T03:17:44.000Z
Why that notch th0ooo 🙄,2019-10-09T03:11:20.000Z
Android??,2019-10-09T03:10:22.000Z
Cuando llega a México,2019-10-09T02:37:19.000Z
Is this the iPhone 21 ???,2019-10-09T01:47:40.000Z
Google?,2019-10-09T01:34:36.000Z
Brasil,2019-10-09T00:46:48.000Z
its uglier than the pixel 3xl and first time seing iphone10,2019-10-08T23:41:39.000Z
Iphone 11 is better,2019-10-08T23:36:54.000Z
Does it have google apps? I’ve read on a website that some of the company’s new phones doesn’t!,2019-10-08T23:13:52.000Z
Yo apena tengo el g4,2019-10-08T22:23:57.000Z
Washing machine 🤮,2019-10-08T22:21:13.000Z
ケースつけられないよ,2019-10-08T22:15:39.000Z
I do not want to lose my information.....,2019-10-08T22:15:05.000Z
Can I tap and pay?<br />How&#39;s security<br />Is there an eco system?<br />I&#39;m may have to look into this device,2019-10-08T22:04:39.000Z
*Apple left the chat*...,2019-10-08T21:48:46.000Z
Good it s good and good ans good it s great nice awsome unbelievable<br />...........but......... it have not google license -_-,2019-10-08T21:43:59.000Z
Google left the chat,2019-10-08T21:43:33.000Z
That was Amazing. Thanks,2019-10-08T21:12:51.000Z
Samsung has left the chat,2019-10-08T21:09:04.000Z
🤮🤮🤮,2019-10-08T21:02:32.000Z
I understood why us banned this companny i think they copy the samsung curve screen and<br /> iphone X screen,2019-10-08T20:40:05.000Z
Huawei forever,2019-10-08T20:34:22.000Z
I would get this but no google support,2019-10-08T19:52:22.000Z
This product should launched in Pakistan. Fan of huawei,2019-10-08T19:02:33.000Z
"Communist phone with Chinese malware, Google already banned this phone",2019-10-08T18:51:41.000Z
Dear Huawei how will u solve Donald Trump problem....,2019-10-08T18:32:29.000Z
Eta ki ber hoyce,2019-10-08T18:13:37.000Z
How much?,2019-10-08T18:13:17.000Z
Rethink what Americans did!,2019-10-08T17:57:40.000Z
I bought redmi k20 pro yesterday...,2019-10-08T17:48:45.000Z
I like everything eccept the big noch.,2019-10-08T17:32:54.000Z
Boycott IPHONE in USA,2019-10-08T17:25:30.000Z
USA HATES U,2019-10-08T17:25:15.000Z
"I want to buy but ..<br />I want to know whether Android, camera and security updates is available in future or not then only I buy this ..<br />Please reply",2019-10-08T17:22:58.000Z
Hwawei&#39;s phones are Samsung and Apple&#39;s combined,2019-10-08T17:21:49.000Z
Love you hawvai,2019-10-08T17:09:24.000Z
Galaxy&#39;s copy version for sure👊,2019-10-08T17:01:49.000Z
When will be available,2019-10-08T16:58:32.000Z
Rethink design: looks like a washing machine.,2019-10-08T16:42:16.000Z
Samsung: Rethink again :),2019-10-08T16:13:56.000Z
curve display will break,2019-10-08T16:11:27.000Z
Rethink the price.,2019-10-08T15:21:51.000Z
Huawei do not let it get you! You have fans arround the world! Huawei is one of the best!,2019-10-08T15:07:20.000Z
Ugh.... The notch! 🤦‍♂️,2019-10-08T15:02:40.000Z
